"130",0.62687,0.80324,0.8744,0.90459,0.9174,0.92021,0.92063,0.91739,0.90898,0.90096,0.87809,0.86179,0.83338,0.81744,0.7795,0.73542,0.69913,0.65417,0.61412,0.55687,0.50887,0.44592,0.40469,0.35645,0.30095,0.25718,0.21543,0.18932,0.15778,0.12753
"120",0.59961,0.78433,0.85516,0.88854,0.90429,0.90969,0.90741,0.90364,0.89168,0.88016,0.86278,0.83988,0.81144,0.78311,0.7511,0.71555,0.66987,0.62251,0.57424,0.5168,0.48385,0.42395,0.36842,0.32487,0.26881,0.24237,0.19609,0.1692,0.14293,0.112957
"110",0.56599,0.75446,0.83133,0.86867,0.88434,0.88883,0.8898,0.88193,0.87353,0.86008,0.8393,0.81386,0.78204,0.75578,0.71145,0.67673,0.63823,0.60054,0.55133,0.47691,0.44002,0.39153,0.34472,0.29134,0.2484,0.2195,0.1734,0.15081,0.13261,0.103729
"100",0.5289,0.72233,0.80334,0.84112,0.85834,0.86598,0.86407,0.85972,0.84897,0.83164,0.81223,0.78391,0.75099,0.72779,0.68211,0.64324,0.60214,0.55057,0.50303,0.45294,0.39743,0.34248,0.3094,0.26723,0.21597,0.17418,0.15697,0.13402,0.105132,0.087781
"90",0.48774,0.68501,0.77041,0.81482,0.83468,0.83799,0.83378,0.83388,0.81851,0.7978,0.77199,0.75285,0.7217,0.6831,0.65001,0.60587,0.55824,0.52173,0.45496,0.40083,0.35923,0.31316,0.26393,0.22108,0.1845,0.18086,0.12478,0.107897,0.087094,0.076118
"80",0.44145,0.6439,0.73102,0.76788,0.79338,0.80785,0.80512,0.79334,0.78428,0.75682,0.73404,0.70249,0.67764,0.62385,0.59707,0.54186,0.50675,0.45676,0.41769,0.35423,0.31647,0.28129,0.23858,0.1994,0.17052,0.13727,0.107272,0.090211,0.070758,0.060106
"70",0.38613,0.59214,0.68125,0.73109,0.74523,0.76271,0.75783,0.74825,0.73224,0.70799,0.68738,0.64929,0.60846,0.57595,0.5348,0.49579,0.45634,0.39709,0.37323,0.30604,0.26621,0.23318,0.19718,0.16288,0.13514,0.106825,0.092305,0.065283,0.058314,0.047425
"60",0.32245,0.52932,0.62671,0.67411,0.69552,0.70022,0.70587,0.70069,0.67391,0.64599,0.63049,0.59032,0.561,0.51563,0.48334,0.42986,0.37828,0.35082,0.2968,0.24944,0.21407,0.18683,0.16781,0.13459,0.099179,0.086051,0.060314,0.058325,0.046646,0.036125
"50",0.25401,0.45612,0.5493,0.60269,0.62751,0.63323,0.6372,0.62705,0.59682,0.57249,0.55439,0.50982,0.47285,0.43697,0.39031,0.34431,0.31615,0.28326,0.23281,0.1962,0.17152,0.13613,0.114234,0.094378,0.077385,0.056872,0.047377,0.039308,0.031371,0.026266
"40",0.1785,0.35697,0.45765,0.50465,0.52831,0.53887,0.53042,0.51392,0.4893,0.47429,0.44523,0.43344,0.37856,0.35486,0.29925,0.28017,0.25002,0.19761,0.17112,0.14779,0.114458,0.099827,0.076522,0.063635,0.044522,0.04064,0.0298285,0.027919,0.021676,0.0157051
"30",0.106307,0.23741,0.32931,0.37727,0.39886,0.40433,0.40373,0.39927,0.37717,0.3577,0.32262,0.28909,0.25768,0.22889,0.20452,0.18114,0.14993,0.118381,0.119482,0.076289,0.066336,0.054371,0.041259,0.039186,0.025259,0.0193075,0.0159691,0.0130939,0.0101507,0.0084874
"20",0.040128,0.11097,0.17203,0.21156,0.22293,0.23015,0.23565,0.21759,0.20489,0.19223,0.1661,0.15166,0.13465,0.110408,0.083866,0.078231,0.06464,0.050757,0.039832,0.034604,0.029561,0.019393,0.0172305,0.0130503,0.0097497,0.0108626,0.0058657,0.0045609,0.0041215,0.0029452
"10",0.0057191,0.015365,0.023464,0.032343,0.037788,0.04453,0.038053,0.036931,0.03719,0.037758,0.0299491,0.030759,0.017961,0.014463,0.0102185,0.0112667,0.007835,0.0074295,0.0062644,0.0033798,0.00272516,0.00224306,0.00170296,0.00174719,0.00096889,0.00094304,0.00069733,0.00093843,0.00067895,0.00065919
